id,title,autor,completo,participantes,notas
001,Introdução à Programação,João Silva,001 Introdução à Programação João Silva,124,9.1
002,Redação Acadêmica,Ana Costa,002 Redação Acadêmica Ana Costa,89,8.7
003,Bases da Matemática,Ricardo Lima,003 Bases da Matemática Ricardo Lima,150,9.4
004,História da Arte,Mariana Souza,004 História da Arte Mariana Souza,76,7.9
005,Lógica de Programação,Carlos Pereira,005 Lógica de Programação Carlos Pereira,138,9.0
006,Gramática Avançada,Lúcia Menezes,006 Gramática Avançada Lúcia Menezes,112,8.5
007,Psicologia Educacional,Paula Rocha,007 Psicologia Educacional Paula Rocha,97,8.8
008,Fundamentos de Física,Henrique Dias,008 Fundamentos de Física Henrique Dias,143,9.3
009,Metodologia Científica,Juliana Torres,009 Metodologia Científica Juliana Torres,85,8.6
010,Design Gráfico,Roberto Nunes,010 Design Gráfico Roberto Nunes,129,9.0
